local bw 1	   local bw 1 normalized	local bw 2	   local bw 2 normalized	    global bw of	    global bw gs
2.37430016104122	2.59853234622463	1.53752457759829	2.27026207962897	2.50817093126401	2.47190912168931
2.4213295383992	        2.63076230590251	1.07963805071143	1.80228623594786	2.46271228229466	2.50131421247797
2.44980139050124	2.67498481906758	1.19251985028126	2.00369794804192	2.73699593742857	2.67022540985247
2.47411471004721	2.60795407472423	1.2915038545938	        2.02918211949485	2.72800992383984	2.62333689719927
2.28684016187586	2.50855936318901	1.09163418798548	1.86177662636409	2.34881519905309	2.37160574869571
2.21531415190499	2.52585852070389	1.44348126022615	2.27226143362137	2.31134455050206	2.35711512519836
2.27706665884267	2.47837416346406	1.07119890526412	1.84489902196119	2.39392206263231	2.39147181934884
2.39742900579965	2.58438449202174	1.26648947272143	2.09603199930968	2.44956192918314	2.47443275399273
2.47811594379624	2.67759153424046	1.59426482541534	2.32676850004932	2.50193794141072	2.49783919275592
2.524055653566	        2.73502370155102	1.08084089710364	1.85671732986094	2.62630489922211	2.63472999091962
2.48417644872177	2.74774084840297	1.27323875147569	2.03922710857987	2.65084812774652	2.65084812774652
2.41694539076718	2.74335579032697	1.89401248878411	2.60911221797332	2.80455289234541	2.80455289234541
2.74032299606788	2.91295810565389	1.85521161785586	2.63471207891985	3.81280442064208	2.79740234745721
2.70518923506856	2.92116573776587	2.97639380858323	2.05479295892172	2.78895477337902	2.77003442104055
2.22056329195905	2.39949038198421	0.619946429868033	1.39929565755854	2.35571212805898	2.32028183644037
2.36961413916975	2.54443575027246	1.30603191553905	2.04279533015071	2.39639646064902	2.39965508170537
2.2365980765064	        2.50905026214296	0.601535014836877	1.34316891713655	2.30266240496837	2.31843312124661
2.59306988995377	2.80432256696806	0.817410425977254	1.53699230560641	3.31755911971142	2.70907576882235
2.34058756662009	2.55688493844359	0.956589531916394	1.7907825276065	        2.40151671567774	2.42763782605186
2.56830302024372	2.76509507563685	1.03721243247747	1.82135520999034	2.7449260215651	        2.71022833368436
