local.bw.1	      local.bw.1.norm   local.bw.2	      local.bw.2.norm   global.bw.of	    global.bw.gs
2.32123751170945	2.53773970512926	1.1773027224675	  1.93240659802044	2.40260947762303	2.40979990841603
2.24158988128205	2.66447203878862	2.20528146031315	2.63535575016428	2.73256346005395	2.55765509309083
2.58003953321798	2.82013694069929	1.69763598336269	2.39303752163126	3.45312037334851	2.64720437213239
2.21347212846864	2.4941036291654	  1.27315709220003	2.00753618748822	2.58299662201428	2.52291376352101
2.82145895325843	3.10075362678888	1.80298063672981	2.49506689105536	4.50796231490809	2.7205757967432
2.27207721040556	2.58572109394931	1.47539732217397	2.23171093738403	2.48496959729825	2.48267680916859
2.62674993985284	2.85770023844781	1.37429036245924	2.06437234396553	2.9090729625634	  2.7525677539475
2.46503781517011	2.72141715334554	1.70936410998714	2.43177893284488	2.8839892010289	  2.68303619459297
2.42766684675697	2.68563380762362	1.27988602258994	2.04472533838058	2.89642000334095	2.69777532093287
2.16469963132828	2.61265180861542	1.52688836307865	2.22823453486832	2.65719896540291	2.62759824932681
2.23991157508961	2.55571153626569	1.19715824450059	1.91213926200989	2.40666948702335	2.4383145728236
2.460752561492	  2.72572445471402  0.569436622686792	1.32131591854812	3.27790578812092	2.59312883920251
2.0824573767349	  2.32322137013378	0.617116464330266	1.32007207338263	2.27608759279777	2.2359838051839
2.32615907493588	2.71631401319246	1.4236128205468 	2.14484809169999	2.64829037229152	2.57559434986777
2.05661770384469	2.44658228834279	1.44092166668842	2.15708478556652	2.34182957098444	2.35208766407865
2.44790971620236	2.71002234360798	1.44771030198722	2.25814770298155	3.14071323755044	2.46372339753665
2.15553359012523	2.53827387754655	1.12838160674323	1.85894163134356	2.5441490440248	  2.51596555102485
2.57186177139569	2.77655687524794	2.01814110893639	2.73871363085035	3.60686156935178	2.89337458801985
2.31553786371564	2.63486643944259	1.74158430171172	2.455966544309	  2.61345416756193	2.59767898534504
2.19330973434983	2.54023544322103	1.0690832630635	  1.7854025140032  	2.42381401822371	2.41393858129408
