local bw 1	local bw 1 normalized	local bw 2	local bw 2 normalized	global bw of	global bw gs
2.20827799592352	2.73527774043043	1.37284958764899	2.13977983504458	2.45002826543039	2.44009109722169
2.38545541038333	2.64690051871601	1.87876090194833	2.70748319042469	2.6387009592076	2.54858926124606
2.36800306680524	2.68730433499674	1.42589940718455	2.20019878382146	2.51375411838542	2.46557875058775
2.34842721039002	2.91045944172699	1.49485790115691	2.34510448499132	2.60092373156807	2.57335672428544
2.26632933204708	2.61153929278005	1.13441621872226	1.92068904046688	2.73912854000016	2.53493931197043
2.25673062181438	2.78328466583712	1.06520733274706	1.86489228960194	2.36559202427644	2.40344844109933
2.2399327304551	2.83107177523906	1.55907624511838	2.3347390197153	2.41971354796907	2.43466604522163
2.14767122543294	2.85371768292832	1.39926963649839	2.17851050428017	2.45829110077052	2.51739924121089
2.45396069577668	2.70229803639291	1.96170842052226	2.72522124921287	3.14689518274488	2.64248872670536
2.07623594688276	2.62135294844351	1.09707624905126	1.87871983582506	2.29901487849766	2.32225235085442
2.74925406392908	3.02524030376919	1.84549849094479	2.66706339879497	4.02524559823269	3.32219304540355
2.43410518604205	2.96773506370421	1.62638714447577	2.45065041358278	2.86908886278593	2.74045141858952
2.08919331830881	2.33781039080989	1.34916743241116	2.16771935863642	2.42160292017331	2.28642573996743
2.09016215348083	2.36741279607498	1.26329094719221	2.04185870877729	2.4105113900033	2.32666815795768
2.12625008830237	2.38364607159852	0.688839733470141	1.49577662482967	2.34858507990023	2.30348766429947
2.1738543084283	2.44936713592599	0.923835617864761	1.7048932789401	2.28436024062421	2.31410183699287
2.37119775716598	2.65205667061683	1.10742590958707	1.88796907835079	3.35308385644855	2.57417094009925
2.421412769461	2.67628488620235	1.30484765613473	2.14170095181655	3.16689619770464	2.67066025189151
2.348332422716	2.9932956840572	2.09654166295115	2.91653995067169	2.6989516094789	2.59525101917772
2.17219165237184	2.67800774238993	1.4439320172961	2.17389362206598	2.33713386794945	2.34342569334259
